	symbol	available_exchanges	currency_base	currency_quote
352	BCH/XRP	['Bitrue']	Bitcoin Cash	XRP
353	BCH/ZAR	['Synthetic']	Bitcoin Cash	South African Rand
354	BCI/BTC	['STEX']	Bitcoin Interest	Bitcoin
355	BCI/USD	['Synthetic']	Bitcoin Interest	US Dollar
356	BCN/ETH	['HitBTC']	Bytecoin	Ethereum
357	BCN/USD	['HitBTC']	Bytecoin	US Dollar
358	BCO/USD	['Synthetic']	BridgeCoin	US Dollar
359	BCPT/BNB	['Binance DEX']	Blockmason Credit Protocol	Binance Coin
360	BCPT/BTC	['HitBTC']	Blockmason Credit Protocol	Bitcoin
361	BCPT/ETH	['HitBTC']	Blockmason Credit Protocol	Ethereum
362	BCPT/USD	['Synthetic']	Blockmason Credit Protocol	US Dollar
363	BCV/BTC	['Huobi']	BitCapitalVendor	Bitcoin
364	BCV/USD	['Synthetic']	BitCapitalVendor	US Dollar
365	BCX/BTC	['Gate.io', 'Huobi']	BitcoinX	Bitcoin
366	BCX/USD	['Gate.io']	BitcoinX	US Dollar
367	BCZERO/BTC	['Livecoin']	Buggyra Coin Zero	Bitcoin
368	BCZERO/USD	['Synthetic']	Buggyra Coin Zero	US Dollar
369	BDG/BTC	['HitBTC']	BitDegree	Bitcoin
370	BDG/ETH	['HitBTC']	BitDegree	Ethereum
371	BDG/USD	['Synthetic']	BitDegree	US Dollar
372	BDL/USD	['Synthetic']	Bitdeal	US Dollar
373	BEAM/BTC	['Binance', 'Hotbit']	Beam	Bitcoin
374	BEAM/ETH	['Gate.io']	Beam	Ethereum
375	BEAM/USD	['Binance', 'DragonEX']	Beam	US Dollar
376	BEE/USD	['Synthetic']	Bee-Token	US Dollar
377	BELA/BTC	['Mercatox']	Bela	Bitcoin
378	BELA/USD	['Synthetic']	Bela	US Dollar
379	BENJI/USD	['Synthetic']	BenjiRolls	US Dollar
380	BERN/BTC	['YoBit']	BERNcash	Bitcoin
381	BERN/USD	['Synthetic']	BERNcash	US Dollar
382	BERRY/BTC	['HitBTC']	Rentberry	Bitcoin
383	BERRY/ETH	['HitBTC']	Rentberry	Ethereum
384	BERRY/USD	['HitBTC']	Rentberry	US Dollar
385	BESTb/BTC	['Bitpanda Pro']	Bitpanda Ecosystem Token	Bitcoin
386	BESTb/EUR	['Bitpanda Pro']	Bitpanda Ecosystem Token	Euro
387	BEST/BTC	['YoBit']	BestChain	Bitcoin
388	BESTb/USD	['Synthetic']	Bitpanda Ecosystem Token	US Dollar
389	BEST/USD	['Synthetic']	BestChain	US Dollar
390	BETA/BTC	['Binance']	Beta Finance	Bitcoin
391	BETA/ETH	['Binance']	Beta Finance	Ethereum
392	BETA/USD	['Binance']	Beta Finance	US Dollar
393	BEZ/BTC	['TOPBTC']	Bezop	Bitcoin
394	BEZ/ETH	['TOPBTC']	Bezop	Ethereum
395	BEZ/USD	['Synthetic']	Bezop	US Dollar
396	BFT/BTC	['DragonEX', 'Huobi']	BnkToTheFuture	Bitcoin
397	BFT/ETH	['Huobi']	BnkToTheFuture	Ethereum
398	BFT/USD	['Synthetic']	BnkToTheFuture	US Dollar
399	BIGUP/USD	['Synthetic']	BigUp	US Dollar
400	BIOB/USD	['Synthetic']	BioBar	US Dollar
401	BIOS/USD	['Synthetic']	BiosCrypto	US Dollar
402	BIRDS/USD	['Synthetic']	Birds	US Dollar
403	BIS/BTC	['Graviex']	Bismuth	Bitcoin
404	BIS/USD	['Synthetic']	Bismuth	US Dollar
